price,qty,side,timestamp_utc,symbol
76837.16,0.004,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76837.1,7e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76837.09,7e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76837.04,0.00014,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76836.67,0.0001,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76836.66,0.01302,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76836.62,0.02,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76836.6,8e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76836.17,0.00035,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76836.01,0.00051,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76836.0,0.49477,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76835.92,0.05361,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76835.84,7e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76835.75,7e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76835.49,0.00197,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76835.24,0.00651,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76835.23,0.004,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76835.2,0.00014,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76834.67,0.00014,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76834.15,9e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76834.0,0.028,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76833.53,0.0001,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76833.52,0.02108,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76833.3,0.004,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76833.2,0.00014,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76832.81,0.01302,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76832.76,0.00241,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76832.59,0.00051,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76832.32,0.00059,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76832.31,0.1173,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76832.13,7e-05,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76832.11,0.002,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
76832.1,0.13015,bid,2026-09-17T17:18:48.236056+00:00,BTCUSDT
